hour_of_day,day_of_week,is_weekend,is_peak_hour,stop_count,distance_km,weather,congestion_index,passenger_load,actual_travel_time_minutes
11,3,0,0,13,23.8,1,0.208,0.381,84.3
7,5,1,1,7,29.2,2,0.572,0.63,120.7
16,0,0,0,3,16.7,0,0.275,0.375,57.1
7,4,0,1,5,21.0,1,0.501,0.714,87.9
6,3,0,0,14,14.3,0,0.247,0.399,68.7
6,5,1,0,8,7.8,1,0.078,0.073,32.4
20,6,1,0,10,18.0,1,0.226,0.646,71.1
17,0,0,1,3,2.4,0,0.66,0.795,12.1
9,1,0,1,9,20.2,4,0.815,0.683,117.9
16,5,1,0,13,17.7,0,0.323,0.26,71.7
13,6,1,0,12,2.7,0,0.209,0.355,19.4
11,4,0,0,13,7.7,4,0.452,0.643,54.7
14,4,0,0,11,5.0,1,0.259,0.19,30.1
11,5,1,0,3,9.6,1,0.164,0.269,32.6
9,0,0,1,5,9.5,0,0.581,0.481,39.4
16,5,1,0,9,15.9,0,0.197,0.409,64.0
9,0,0,1,3,8.7,0,0.761,0.813,34.4
6,5,1,0,8,17.0,0,0.338,0.326,65.8
7,3,0,1,14,21.0,0,0.719,0.517,84.7
22,0,0,0,13,11.5,0,0.455,0.522,51.4
21,1,0,0,3,4.6,3,0.476,0.517,23.9
7,3,0,1,10,13.3,3,0.819,0.828,81.7
7,0,0,1,4,6.5,1,0.588,0.798,28.4
12,6,1,0,5,20.4,1,0.087,0.363,62.8
18,5,1,1,8,29.4,1,0.478,0.573,126.8
20,2,0,0,6,2.7,1,0.339,0.381,19.3
7,3,0,1,3,4.1,0,0.546,0.438,19.0
7,5,1,1,10,7.8,1,0.474,0.572,34.2
12,0,0,0,11,21.7,0,0.391,0.309,91.1
17,3,0,1,3,4.0,0,0.901,0.466,23.6
21,3,0,0,12,25.0,0,0.306,0.238,100.2
8,5,1,1,6,13.5,1,0.314,0.504,45.5
9,1,0,1,7,4.3,0,0.552,0.649,20.2
9,5,1,1,9,3.3,1,0.672,0.649,17.5
19,0,0,1,6,6.9,0,0.674,0.865,31.1
9,3,0,1,4,9.3,0,0.794,1.0,42.5
